exercise,occurrences,has_reps,has_weight
Booty Builder,10,0,8
Bulgarians,5,0,4
Pushups,4,0,1
Pseudo Planche,4,0,0
Prone Leg Curls,4,0,3
Scapular Pushups,3,0,1
MB Hamstring Curls,3,0,1
Trio,3,0,3
Ext. Rotations,2,0,1
Deadhang Leg Lifts,2,0,0
Shoulder Raise,2,0,0
Shoulder Raise Trio,2,0,2
Wall Hanstand,2,0,0
Wall Handstand Holds,2,0,0
Wall Handstand,2,0,0
Archer Pullups,2,0,0
Quad Ext.,2,0,2
Prone Leg,2,0,0
Elevated Pike,2,0,0
Ext/Int Rotations,2,0,2
Abductors,2,0,2
Dips,2,0,2
Slides,2,0,0
Pull ups,2,0,0
Seated Rear,2,0,0
Wall Pseudo Planche Holds,2,0,0
Squats,2,0,1
RB Pull-Aparts,2,0,2
Seated Incline Leg Press,2,0,2
Rotations,2,0,2
Holds,2,0,0
Wall Slides,2,0,0
Seated Hip,2,0,0
1 Cable Squats,2,0,2
Scapular Push Ups,2,0,1
SB Hamstring,2,0,0
Scoops,2,0,0
Hip Adductions,2,0,2
Pullups w/ Neutral Grip Bar,1,0,0
SA Tricep Skull,1,0,0
SB Hamstring Curls,1,0,0
Rows ( Neutral ),1,0,0
Pullups w/,1,0,0
Pullups (reg.),1,0,0
SB hamstring curls,1,0,0
Pushups + El. Pike Pushups,1,0,0
RB Pull Aparts,1,0,0
Rotations RB,1,0,0
Raises,1,0,2
RB Lateral Walk,1,0,0
RB Around-the-world,1,0,0
RB Face Pulls,1,0,1
RB Full Aparts,1,0,1
RB Shoulder Pull-Downs,1,0,1
RB Reach Backs,1,0,0
RB Hip Abductions,1,0,0
RB scapular,1,0,0
! AB Front Rows,1,0,1
Pullups,1,0,0
Pendulum,1,0,0
Palov rotations,1,0,1
One arm deadhangs,1,0,0
One Arm Pullups RR,1,0,0
Newrow Neutral,1,0,0
Nall Pseudo Planche,1,0,0
N/ Squat,1,0,1
Muscle ups,1,0,0
Med. Ball Circles,1,0,0
MB Hamstring Carla,1,0,0
Lever Holds,1,0,0
Leg Press,1,0,0
Leg Lifts,1,0,0
Leans rick,1,0,0
Leans,1,0,0
Laying Side Leg Raises RB,1,0,0
Laying 900,1,0,0
Landmine Press,1,0,1
Pectoral Flies,1,0,0
Pike Pushups,1,0,0
Pull downs RB,1,0,0
Pike to Knee Pucks,1,0,0
Pull Ups,1,0,1
Pull Op w/ frontrowgrip,1,0,1
Pseudo Planche Rockers,1,0,0
Pseudo Planche Raises (Laying ) Dips,1,0,1
SL Bosu Squat,1,0,0
Pseudo Planche Pushups Slides,1,0,0
Pseudo Planche Leans W / Wall,1,0,1
Pseudo Front Lever Holds - Tuck,1,0,0
Prone KTWs,1,0,0
Pressdown,1,0,1
Press,1,0,1
Power Pullups,1,0,0
Power Pull ups,1,0,0
Plank Scapular,1,0,0
Plank + pike + Knee tuck,1,0,1
Planche holds,1,0,0
Pistol Squats,1,0,1
SL Bosu Ball Pistol Squat,1,0,1
Scapular push ups,1,0,1
SL Cores Drill,1,0,0
Wall Planche Lean Hold,1,0,0
Wall Pseudo Planche holds,1,0,0
Wall Pseudo Planche Pushups,1,0,0
Wall Pseudo Planche Push ups weighted,1,0,1
Wall Pseudo Planche Leons,1,0,0
Wall Pseudo Planche Leans,1,0,0
Wall Pseudo,1,0,0
Wall Planche hold,1,0,0
Wall Planche Holds,1,0,0
Triceps,1,0,0
Walks to pseudo planche Wall Hanstand,1,0,0
"Walks to Pseudo Pland, WEIGHT",1,0,0
Upright Leg Lifts,1,0,0
Tuck holds,1,0,0
Tuck Planche Dips,1,0,0
Tuck Planche,1,0,0
Tuck Ice Cream,1,0,0
